AREA,EXMN_YMD,LAT,LON,SITE,DEPTH,CLASS,COUNT
제주 자구리,2022-05-01,33.23918333,126.57125,SA-1,10.8,Nematodes,85
제주 자구리,2022-05-01,33.23918333,126.57125,SA-1,10.8,Harpacticoids,125
제주 자구리,2022-05-01,33.23918333,126.57125,SA-1,10.8,Nauplius,65
제주 자구리,2022-05-01,33.23918333,126.57125,SA-1,10.8,Sarcomastigophorans,7
제주 자구리,2022-05-01,33.23918333,126.57125,SA-1,10.8,Polychaetes,15
제주 자구리,2022-05-01,33.23918333,126.57125,SA-1,10.8,Ostracods,2
제주 자구리,2022-05-01,33.23918333,126.57125,SA-1,10.8,Gastrotrichs,1
제주 자구리,2022-05-01,33.23918333,126.57125,SA-2,10.8,Nematodes,78
제주 자구리,2022-05-01,33.23918333,126.57125,SA-2,10.8,Harpacticoids,163
제주 자구리,2022-05-01,33.23918333,126.57125,SA-2,10.8,Nauplius,89
제주 자구리,2022-05-01,33.23918333,126.57125,SA-2,10.8,Sarcomastigophorans,25
제주 자구리,2022-05-01,33.23918333,126.57125,SA-2,10.8,Polychaetes,19
제주 자구리,2022-05-01,33.23918333,126.57125,SA-2,10.8,Ostracods,1
제주 자구리,2022-05-01,33.23918333,126.57125,SA-2,10.8,Bivalves,1
제주 자구리,2022-05-01,33.23918333,126.57125,SA-2,10.8,Amphipods,5
제주 자구리,2022-05-01,33.23918333,126.57125,SA-2,10.8,Kinorhynchs,3
제주 자구리,2022-05-01,33.23918333,126.57125,SA-2,10.8,Turbellarians,4
제주 자구리,2022-05-01,33.23918333,126.57125,SA-2,10.8,Gastrotrichs,5
제주 자구리,2022-05-01,33.23918333,126.57125,SA-2,10.8,Insects,1
제주 자구리,2022-05-01,33.23918333,126.57125,SP-1(병),10.8,Nematodes,56
제주 자구리,2022-05-01,33.23918333,126.57125,SP-1(병),10.8,Harpacticoids,71
제주 자구리,2022-05-01,33.23918333,126.57125,SP-1(병),10.8,Nauplius,22
제주 자구리,2022-05-01,33.23918333,126.57125,SP-1(병),10.8,Sarcomastigophorans,17
제주 자구리,2022-05-01,33.23918333,126.57125,SP-1(병),10.8,Polychaetes,24
제주 자구리,2022-05-01,33.23918333,126.57125,SP-1(병),10.8,Ostracods,1
제주 자구리,2022-05-01,33.23918333,126.57125,SP-1(병),10.8,Amphipods,1
제주 자구리,2022-05-01,33.23918333,126.57125,SP-1(병),10.8,Turbellarians,1
제주 자구리,2022-05-01,33.23918333,126.57125,SP-1(병),10.8,Gastrotrichs,1
제주 자구리,2022-05-01,33.23918333,126.57125,SP-2(병),10.8,Nematodes,31
제주 자구리,2022-05-01,33.23918333,126.57125,SP-2(병),10.8,Harpacticoids,28
제주 자구리,2022-05-01,33.23918333,126.57125,SP-2(병),10.8,Nauplius,7
제주 자구리,2022-05-01,33.23918333,126.57125,SP-2(병),10.8,Sarcomastigophorans,10
제주 자구리,2022-05-01,33.23918333,126.57125,SP-2(병),10.8,Polychaetes,15
제주 자구리,2022-05-01,33.23918333,126.57125,SP-2(병),10.8,Amphipods,21
제주 자구리,2022-05-01,33.23918333,126.57125,SP-2(병),10.8,Isopods,1
제주 자구리,2022-05-01,33.23918333,126.57125,SP-2(병),10.8,Kinorhynchs,1
제주 자구리,2022-05-01,33.23918333,126.57125,SP-3(병),10.8,Nematodes,83
제주 자구리,2022-05-01,33.23918333,126.57125,SP-3(병),10.8,Harpacticoids,71
제주 자구리,2022-05-01,33.23918333,126.57125,SP-3(병),10.8,Nauplius,16
제주 자구리,2022-05-01,33.23918333,126.57125,SP-3(병),10.8,Sarcomastigophorans,10
제주 자구리,2022-05-01,33.23918333,126.57125,SP-3(병),10.8,Polychaetes,23
제주 자구리,2022-05-01,33.23918333,126.57125,SP-3(병),10.8,Ostracods,1
제주 자구리,2022-05-01,33.23918333,126.57125,SP-3(병),10.8,Bivalves,2
제주 자구리,2022-05-01,33.23918333,126.57125,SP-3(병),10.8,Amphipods,16
제주 자구리,2022-05-01,33.23918333,126.57125,SP-3(병),10.8,Kinorhynchs,1
제주 자구리,2022-05-01,33.23918333,126.57125,SP-3(병),10.8,Turbellarians,1
제주 자구리,2022-05-01,33.23918333,126.57125,SP-3(병),10.8,Gastrotrichs,1
제주 자구리,2022-05-01,33.23918333,126.57125,SP-1(천),10.8,Nematodes,60
제주 자구리,2022-05-01,33.23918333,126.57125,SP-1(천),10.8,Harpacticoids,31
제주 자구리,2022-05-01,33.23918333,126.57125,SP-1(천),10.8,Nauplius,8
제주 자구리,2022-05-01,33.23918333,126.57125,SP-1(천),10.8,Sarcomastigophorans,11
제주 자구리,2022-05-01,33.23918333,126.57125,SP-1(천),10.8,Polychaetes,16
제주 자구리,2022-05-01,33.23918333,126.57125,SP-1(천),10.8,Ostracods,1
제주 자구리,2022-05-01,33.23918333,126.57125,SP-1(천),10.8,Turbellarians,6
제주 자구리,2022-05-01,33.23918333,126.57125,SP-1(천),10.8,Gastrotrichs,3
제주 자구리,2022-05-01,33.23918333,126.57125,SP-2(천),10.8,Nematodes,69
제주 자구리,2022-05-01,33.23918333,126.57125,SP-2(천),10.8,Harpacticoids,21
제주 자구리,2022-05-01,33.23918333,126.57125,SP-2(천),10.8,Nauplius,7
제주 자구리,2022-05-01,33.23918333,126.57125,SP-2(천),10.8,Sarcomastigophorans,16
제주 자구리,2022-05-01,33.23918333,126.57125,SP-2(천),10.8,Polychaetes,23
제주 자구리,2022-05-01,33.23918333,126.57125,SP-2(천),10.8,Ostracods,1
제주 자구리,2022-05-01,33.23918333,126.57125,SP-2(천),10.8,Turbellarians,3
제주 자구리,2022-05-01,33.23918333,126.57125,SP-2(천),10.8,Gastrotrichs,7
제주 자구리,2022-05-01,33.23918333,126.57125,SP-3(천),10.8,Nematodes,108
제주 자구리,2022-05-01,33.23918333,126.57125,SP-3(천),10.8,Harpacticoids,20
제주 자구리,2022-05-01,33.23918333,126.57125,SP-3(천),10.8,Nauplius,15
제주 자구리,2022-05-01,33.23918333,126.57125,SP-3(천),10.8,Sarcomastigophorans,11
제주 자구리,2022-05-01,33.23918333,126.57125,SP-3(천),10.8,Polychaetes,10
제주 자구리,2022-05-01,33.23918333,126.57125,SP-3(천),10.8,Ostracods,1
제주 자구리,2022-05-01,33.23918333,126.57125,SP-3(천),10.8,Amphipods,3
제주 자구리,2022-05-01,33.23918333,126.57125,SP-3(천),10.8,Turbellarians,1
제주 자구리,2022-05-01,33.23918333,126.57125,SP-3(천),10.8,Gastrotrichs,2
제주 자구리,2022-05-01,33.23918333,126.57125,SP-1(그물),10.8,Nematodes,96
제주 자구리,2022-05-01,33.23918333,126.57125,SP-1(그물),10.8,Harpacticoids,18
제주 자구리,2022-05-01,33.23918333,126.57125,SP-1(그물),10.8,Nauplius,19
제주 자구리,2022-05-01,33.23918333,126.57125,SP-1(그물),10.8,Sarcomastigophorans,11
제주 자구리,2022-05-01,33.23918333,126.57125,SP-1(그물),10.8,Polychaetes,15
제주 자구리,2022-05-01,33.23918333,126.57125,SP-1(그물),10.8,Turbellarians,1
제주 자구리,2022-05-01,33.23918333,126.57125,SP-1(그물),10.8,Gastrotrichs,2
제주 자구리,2022-05-01,33.23918333,126.57125,SP-2(그물),10.8,Nematodes,43
제주 자구리,2022-05-01,33.23918333,126.57125,SP-2(그물),10.8,Harpacticoids,10
제주 자구리,2022-05-01,33.23918333,126.57125,SP-2(그물),10.8,Nauplius,15
제주 자구리,2022-05-01,33.23918333,126.57125,SP-2(그물),10.8,Sarcomastigophorans,16
제주 자구리,2022-05-01,33.23918333,126.57125,SP-2(그물),10.8,Polychaetes,23
제주 자구리,2022-05-01,33.23918333,126.57125,SP-2(그물),10.8,Turbellarians,2
제주 자구리,2022-05-01,33.23918333,126.57125,SP-2(그물),10.8,Gastrotrichs,2
제주 자구리,2022-05-01,33.23918333,126.57125,SP-3(그물),10.8,Nematodes,31
제주 자구리,2022-05-01,33.23918333,126.57125,SP-3(그물),10.8,Harpacticoids,16
제주 자구리,2022-05-01,33.23918333,126.57125,SP-3(그물),10.8,Nauplius,17
제주 자구리,2022-05-01,33.23918333,126.57125,SP-3(그물),10.8,Sarcomastigophorans,11
제주 자구리,2022-05-01,33.23918333,126.57125,SP-3(그물),10.8,Polychaetes,4
제주 자구리,2022-05-01,33.23918333,126.57125,SP-3(그물),10.8,Ostracods,1
제주 자구리,2022-05-01,33.23918333,126.57125,SP-3(그물),10.8,Turbellarians,1
제주 자구리,2022-05-01,33.23918333,126.57125,SP-3(그물),10.8,Gastrotrichs,2
제주 자구리,2022-05-01,33.23918333,126.57125,SP-3(그물),10.8,Insects,1
제주 자구리,2022-05-01,33.23918333,126.57125,HA,10.8,Nematodes,180
제주 자구리,2022-05-01,33.23918333,126.57125,HA,10.8,Harpacticoids,247
제주 자구리,2022-05-01,33.23918333,126.57125,HA,10.8,Nauplius,84
제주 자구리,2022-05-01,33.23918333,126.57125,HA,10.8,Sarcomastigophorans,61
제주 자구리,2022-05-01,33.23918333,126.57125,HA,10.8,Polychaetes,28
제주 자구리,2022-05-01,33.23918333,126.57125,HA,10.8,Ostracods,2
제주 자구리,2022-05-01,33.23918333,126.57125,HA,10.8,Amphipods,1
제주 자구리,2022-05-01,33.23918333,126.57125,HA,10.8,Cumaceans,1
제주 자구리,2022-05-01,33.23918333,126.57125,HA,10.8,Kinorhynchs,2
제주 자구리,2022-05-01,33.23918333,126.57125,HA,10.8,Turbellarians,9
제주 자구리,2022-05-01,33.23918333,126.57125,HA,10.8,Halacaloideans,1
제주 자구리,2022-05-01,33.23918333,126.57125,HA,10.8,Gastrotrichs,6
제주 자구리,2022-05-01,33.23918333,126.57125,HA,10.8,Insects,1
제주 자구리,2022-05-01,33.23918333,126.57125,HP,10.8,Nematodes,265
제주 자구리,2022-05-01,33.23918333,126.57125,HP,10.8,Harpacticoids,207
제주 자구리,2022-05-01,33.23918333,126.57125,HP,10.8,Nauplius,118
제주 자구리,2022-05-01,33.23918333,126.57125,HP,10.8,Sarcomastigophorans,51
제주 자구리,2022-05-01,33.23918333,126.57125,HP,10.8,Polychaetes,63
제주 자구리,2022-05-01,33.23918333,126.57125,HP,10.8,Ostracods,4
제주 자구리,2022-05-01,33.23918333,126.57125,HP,10.8,Amphipods,1
제주 자구리,2022-05-01,33.23918333,126.57125,HP,10.8,Kinorhynchs,2
제주 자구리,2022-05-01,33.23918333,126.57125,HP,10.8,Turbellarians,25
제주 자구리,2022-05-01,33.23918333,126.57125,HP,10.8,Halacaloideans,0
제주 자구리,2022-05-01,33.23918333,126.57125,HP,10.8,Gastrotrichs,19
제주 자구리,2022-08-24,33.23988333,126.5705167,SA,14,Nematodes,474
제주 자구리,2022-08-24,33.23988333,126.5705167,SA,14,Harpacticoids,30
제주 자구리,2022-08-24,33.23988333,126.5705167,SA,14,Nauplius,35
제주 자구리,2022-08-24,33.23988333,126.5705167,SA,14,Sarcomastigophorans,13
제주 자구리,2022-08-24,33.23988333,126.5705167,SA,14,Polychaetes,17
제주 자구리,2022-08-24,33.23988333,126.5705167,SA,14,Isopods,1
제주 자구리,2022-08-24,33.23988333,126.5705167,SA,14,Kinorhynchs,2
제주 자구리,2022-08-24,33.23988333,126.5705167,SA,14,Turbellarians,1
제주 자구리,2022-08-24,33.23988333,126.5705167,SP-1(병),14,Nematodes,143
제주 자구리,2022-08-24,33.23988333,126.5705167,SP-1(병),14,Harpacticoids,15
제주 자구리,2022-08-24,33.23988333,126.5705167,SP-1(병),14,Nauplius,1
제주 자구리,2022-08-24,33.23988333,126.5705167,SP-1(병),14,Sarcomastigophorans,3
제주 자구리,2022-08-24,33.23988333,126.5705167,SP-1(병),14,Polychaetes,29
제주 자구리,2022-08-24,33.23988333,126.5705167,SP-1(병),14,Kinorhynchs,2
제주 자구리,2022-08-24,33.24003333,126.5706833,SP-2(천),14.5,Nematodes,117
제주 자구리,2022-08-24,33.24003333,126.5706833,SP-2(천),14.5,Harpacticoids,19
제주 자구리,2022-08-24,33.24003333,126.5706833,SP-2(천),14.5,Nauplius,13
제주 자구리,2022-08-24,33.24003333,126.5706833,SP-2(천),14.5,Sarcomastigophorans,26
제주 자구리,2022-08-24,33.24003333,126.5706833,SP-2(천),14.5,Polychaetes,41
제주 자구리,2022-08-24,33.24003333,126.5706833,SP-2(천),14.5,Ostracods,1
제주 자구리,2022-08-24,33.24003333,126.5706833,SP-2(천),14.5,Isopods,1
제주 자구리,2022-08-24,33.24003333,126.5706833,SP-2(천),14.5,Kinorhynchs,1
제주 자구리,2022-08-24,33.24003333,126.5706833,SP-2(천),14.5,Cnidarians,1
제주 자구리,2022-08-24,33.24003333,126.5706833,SP-2(천),14.5,Turbellarians,2
제주 자구리,2022-08-24,33.24003333,126.5706833,SP-2(천),14.5,Gastrotrichs,3
제주 자구리,2022-08-24,33.24003333,126.5706833,SP-3(그물),14.5,Nematodes,126
제주 자구리,2022-08-24,33.24003333,126.5706833,SP-3(그물),14.5,Harpacticoids,27
제주 자구리,2022-08-24,33.24003333,126.5706833,SP-3(그물),14.5,Nauplius,7
제주 자구리,2022-08-24,33.24003333,126.5706833,SP-3(그물),14.5,Sarcomastigophorans,19
제주 자구리,2022-08-24,33.24003333,126.5706833,SP-3(그물),14.5,Polychaetes,29
제주 자구리,2022-08-24,33.24003333,126.5706833,SP-3(그물),14.5,Cumaceans,1
제주 자구리,2022-08-24,33.24003333,126.5706833,SP-3(그물),14.5,Turbellarians,3
제주 자구리,2022-08-24,33.24003333,126.5706833,SP-3(그물),14.5,Insects,1
제주 자구리,2022-08-25,33.2398,126.5707333,HA,14.5,Nematodes,102
제주 자구리,2022-08-25,33.2398,126.5707333,HA,14.5,Harpacticoids,60
제주 자구리,2022-08-25,33.2398,126.5707333,HA,14.5,Nauplius,23
제주 자구리,2022-08-25,33.2398,126.5707333,HA,14.5,Sarcomastigophorans,26
제주 자구리,2022-08-25,33.2398,126.5707333,HA,14.5,Polychaetes,25
제주 자구리,2022-08-25,33.2398,126.5707333,HA,14.5,Bivalves,1
제주 자구리,2022-08-25,33.2398,126.5707333,HA,14.5,Amphipods,1
제주 자구리,2022-08-25,33.2398,126.5707333,HA,14.5,Isopods,1
제주 자구리,2022-08-25,33.2398,126.5707333,HA,14.5,Kinorhynchs,1
제주 자구리,2022-08-25,33.23991667,126.6207667,HP-1(그물),11.5,Nematodes,122
제주 자구리,2022-08-25,33.23991667,126.6207667,HP-1(그물),11.5,Harpacticoids,25
제주 자구리,2022-08-25,33.23991667,126.6207667,HP-1(그물),11.5,Nauplius,6
제주 자구리,2022-08-25,33.23991667,126.6207667,HP-1(그물),11.5,Sarcomastigophorans,30
제주 자구리,2022-08-25,33.23991667,126.6207667,HP-1(그물),11.5,Polychaetes,23
제주 자구리,2022-08-25,33.23991667,126.6207667,HP-1(그물),11.5,Isopods,1
제주 자구리,2022-08-25,33.23991667,126.6207667,HP-1(그물),11.5,Cumaceans,1
제주 자구리,2022-08-25,33.23991667,126.6207667,HP-1(그물),11.5,Kinorhynchs,1
제주 자구리,2022-08-25,33.23991667,126.6207667,HP-1(그물),11.5,Tardigrades,1
제주 자구리,2022-08-25,33.23991667,126.6207667,HP-1(그물),11.5,Cnidarians,1
제주 자구리,2022-08-25,33.23991667,126.6207667,HP-1(그물),11.5,Turbellarians,1
제주 자구리,2022-08-25,33.23991667,126.6207667,HP-1(그물),11.5,Gastrotrichs,2
제주 자구리,2022-08-25,33.23991667,126.6207667,HP-2(천),11.5,Nematodes,103
제주 자구리,2022-08-25,33.23991667,126.6207667,HP-2(천),11.5,Harpacticoids,44
제주 자구리,2022-08-25,33.23991667,126.6207667,HP-2(천),11.5,Nauplius,14
제주 자구리,2022-08-25,33.23991667,126.6207667,HP-2(천),11.5,Sarcomastigophorans,27
제주 자구리,2022-08-25,33.23991667,126.6207667,HP-2(천),11.5,Polychaetes,38
제주 자구리,2022-08-25,33.23991667,126.6207667,HP-2(천),11.5,Bivalves,1
제주 자구리,2022-08-25,33.23991667,126.6207667,HP-2(천),11.5,Isopods,1
제주 자구리,2022-08-25,33.23991667,126.6207667,HP-2(천),11.5,Kinorhynchs,4
제주 자구리,2022-08-25,33.23991667,126.6207667,HP-2(천),11.5,Turbellarians,1
